title,date,rubrique,sous_rubrique,summary,url
,,environnement,problemes de sante lies a l'environnement,Serons-nous bientôt tous allergiques ?,/replay-radio/c-est-ma-sante/serons-nous-bientot-tous-allergiques_7790012.html
,,environnement,problemes de sante lies a l'environnement,Sécurité sanitaire : l’ANSES alerte sur la présence de plus de 250 substances toxiques dans nos aliments,/replay-jt/france-2/8-heures/securite-sanitaire-l-anses-alerte-sur-la-presence-de-plus-de-250-substances-toxiques-dans-nos-aliments_7800761.html
,,environnement,problemes de sante lies a l'environnement,"La ""nouvelle proposition de loi Duplomb est une provocation"", une ""insulte pour tous les paysans qui se sont mobilisés"", fustige le collectif Nourrir",/environnement/loi-duplomb/la-nouvelle-proposition-de-loi-duplomb-est-une-provocation-une-insulte-pour-tous-les-paysans-qui-se-sont-mobilises-fustige-le-collectif-nourrir_7790930.html
,,environnement,problemes de sante lies a l'environnement,Mercosur : les pesticides du Brésil peuvent-ils se retrouver dans notre assiette ?,/vrai-ou-fake/mercosur-les-pesticides-du-bresil-peuvent-ils-se-retrouver-dans-notre-assiette_7747840.html
,,environnement,problemes de sante lies a l'environnement,"L’exposition à des perturbateurs endocriniens pendant la grossesse associée à des troubles du comportement chez l’enfant, selon une étude",/replay-radio/le-billet-vert/l-exposition-a-des-perturbateurs-endocriniens-pendant-la-grossesse-associee-a-des-troubles-du-comportement-chez-l-enfant-selon-une-etude_7669852.html
,,environnement,problemes de sante lies a l'environnement,Polluants éternels dans l'eau : le TFA retrouvé dans 92% des prélèvements en France lors d'une vaste étude des autorités sanitaires,/environnement/pollution/pfas/polluants-eternels-dans-l-eau-le-tfa-retrouve-dans-92-des-prelevements-en-france-lors-d-une-vaste-etude-des-autorites-sanitaires_7655540.html
,,environnement,problemes de sante lies a l'environnement,"La Cinémathèque française annonce fermer ses salles pendant un mois après de ""nouveaux signalements"" de punaises de lit",/sante/punaises-de-lit-en-france/la-cinematheque-francaise-annonce-fermer-ses-salles-pendant-un-mois-apres-de-nouveaux-signalements-de-punaises-de-lit_7645934.html
,,environnement,problemes de sante lies a l'environnement,"Un nouveau type de pesticide basé sur l'ARN, en cours d'évaluation par l'UE, interroge les scientifiques",/environnement/transition-ecologique-de-l-agriculture/pesticides/un-nouveau-type-de-pesticide-base-sur-l-arn-en-cours-d-evaluation-par-l-ue-interroge-les-scientifiques_7628402.html
,,environnement,problemes de sante lies a l'environnement,"A Marseille, plus de 50 personnes et sept syndicats portent plainte pour dénoncer l'exposition à l'amiante dans les écoles",/sante/amiante-dans-les-ecoles-plus-de-50-personnes-et-sept-syndicats-portent-plainte-a-marseille_7626137.html
,,environnement,problemes de sante lies a l'environnement,"L'exposition des femmes au chlordécone associée à un allongement du délai pour concevoir un enfant, selon une étude",/environnement/problemes-de-sante-lies-a-l-environnement/l-exposition-des-femmes-au-chlordecone-associee-a-un-allongement-du-delai-pour-concevoir-un-enfant_7556257.html
,,environnement,problemes de sante lies a l'environnement,Épidémie de chikungunya : une opération de démoustication inédite après un 120e cas à Antibes,/sante/maladie/chikungunya/epidemie-de-chikungunya-une-operation-de-demoustication-inedite-apres-un-120e-cas-a-antibes_7527586.html
,,environnement,problemes de sante lies a l'environnement,Peut-on vraiment se passer de pesticides pour cultiver la betterave ? OnVousRépond Climat,/environnement/onvousrepond-climat/peut-on-vraiment-se-passer-de-pesticides-pour-cultiver-la-betterave-onvousrepond-climat_7510882.html
,,environnement,problemes de sante lies a l'environnement,"PFAS : trois maires de communes du Grand Est, privées d'eau du robinet, disent être massivement contaminés après avoir fait tester leur sang",/environnement/pollution/pfas/pfas-trois-maires-de-communes-du-grand-est-privees-d-eau-du-robinet-disent-etre-massivement-contamines-apres-avoir-fait-tester-leur-sang_7501633.html
,,environnement,problemes de sante lies a l'environnement,"Le réchauffement climatique a causé des milliers de morts cet été en Europe, avancent des chercheurs",/environnement/crise-climatique/le-rechauffement-climatique-a-cause-des-milliers-de-morts-cet-ete-en-europe-avancent-des-chercheurs_7497037.html
,,environnement,problemes de sante lies a l'environnement,"""Il y en a assez de nous faire porter la responsabilité"" : pour limiter les effets de l'exposition aux pesticides, agriculteurs et riverains organisent leur cohabitation",/environnement/transition-ecologique-de-l-agriculture/pesticides/reportage-il-y-en-a-assez-de-nous-faire-porter-la-responsabilite-pour-limiter-les-effets-de-l-exposition-aux-pesticides-agriculteurs-et-riverains-organisent-leur-cohabitation_7495072.html
,,environnement,problemes de sante lies a l'environnement,L'Anses demande la création d'un registre national sur l'utilisation des pesticides,/environnement/transition-ecologique-de-l-agriculture/pesticides/l-anses-demande-la-creation-d-un-registre-national-sur-l-utilisation-des-pesticides_7495078.html
